"Contract ","Sales Order","Created Date","Product: Product Name","Quantity Ordered","Customer ","Product: Metal: Metal Name","Product: Product Code"
"CON-60825","SO-34167","6/21/2023","Gold Bar 10 Gram Any Brand","1.000000","Ross Jewelers","Gold","GB10G"
"CON-56834","SO-31909","1/30/2023","Gold Bar 10 Gram Any Brand","1.000000","River City Pawn and Gun, LLC","Gold","GB10G"
"CON-62241","SO-34763","8/9/2023","Gold Bar 10 Gram Any Brand","3.000000","Blue Ridge Coin Shop","Gold","GB10G"
"CON-60390","SO-33990","6/1/2023","Gold Bar 10 Gram Any Brand","5.000000","K.B. Zaveree","Gold","GB10G"
"CON-59655","SO-33610","5/5/2023","Gold Bar 10 oz Assorted Brands","1.000000","Trust Jewelry and Repair, Inc.","Gold","GB10GEN"
"CON-60208","SO-33895","5/24/2023","Gold Bar 10 oz Assorted Brands","2.000000","The Coin Shop Biloxi","Gold","GB10GEN"
"CON-59420","SO-33491","4/27/2023","Gold Bar 10 oz Assorted Brands","2.000000","ATL Finds","Gold","GB10GEN"
"CON-59282","SO-33400","4/21/2023","Gold Bar 10 oz Assorted Brands","2.000000","Tomahawk Consulting, LLC","Gold","GB10GEN"
"CON-56789","SO-31879","1/27/2023","Gold Bar 10 oz Assorted Brands","10.000000","Paras Gold Inc.","Gold","GB10GEN"
"CON-58896","SO-33166","4/10/2023","Gold Bar 10 oz Assorted Brands","1.000000","ARA Gold LLC","Gold","GB10GEN"
"CON-59054","SO-33261","4/13/2023","Gold Bar 10 oz Assorted Brands","5.000000","Kilo Funding 1 LLC","Gold","GB10GEN"
"CON-59327","SO-33436","4/24/2023","Gold Bar 10 oz Assorted Brands","1.000000","Russell Finkelberg","Gold","GB10GEN"
"CON-60084","SO-33836","5/19/2023","Gold Bar 10 oz Assorted Brands","3.000000","Mountain Time Inc.","Gold","GB10GEN"
"CON-59618","SO-33590","5/4/2023","Gold Bar 10 oz Assorted Brands","1.000000","Royal Gold & Silver Exchange","Gold","GB10GEN"
"CON-60059","SO-33815","5/18/2023","Gold Bar 10 oz Assorted Brands","2.000000","Tomahawk Consulting, LLC","Gold","GB10GEN"
"CON-60889","SO-34205","6/26/2023","Gold Bar 10 oz Assorted Brands","3.000000","Royal Gold & Silver Exchange","Gold","GB10GEN"
"CON-61129","SO-34286","7/6/2023","Gold Bar 10 oz Assorted Brands","3.000000","Tomahawk Consulting, LLC","Gold","GB10GEN"
"CON-56974","SO-32002","2/7/2023","Gold Bar 10 oz Assorted Brands","3.000000","Tomahawk Consulting, LLC","Gold","GB10GEN"
"CON-62899","SO-35049","8/30/2023","Gold Bar 10 oz Assorted Brands","6.000000","Dillon Gage Inc. of Dallas","Gold","GB10GEN"
"CON-56013","SO-31551","1/5/2023","Gold Bar 10 oz Assorted Brands","1.000000","ARA Gold LLC","Gold","GB10GEN"
"CON-58265","SO-32763","3/22/2023","Gold Bar 10 oz Assorted Brands","2.000000","First Place Jewelry, LLC","Gold","GB10GEN"
"CON-56112","SO-31591","1/10/2023","Gold Bar 10 oz Assorted Brands","3.000000","Tomahawk Consulting, LLC","Gold","GB10GEN"
"CON-61113","SO-34283","7/5/2023","Gold Bar 10 oz Assorted Brands","2.000000","Kilo Funding 1 LLC","Gold","GB10GEN"
"CON-63188","SO-35183","9/11/2023","Gold Bar 10 oz Assorted Brands","2.000000","Mountain Time Inc.","Gold","GB10GEN"
"CON-62565","SO-34905","8/18/2023","Gold Bar 10 oz Assorted Brands","1.000000","Tulsa Gold and Silver","Gold","GB10GEN"
"CON-63040","SO-35116","9/5/2023","Gold Bar 10 oz Assorted Brands","3.000000","Tomahawk Consulting, LLC","Gold","GB10GEN"
"CON-62215","SO-34742","8/8/2023","Gold Bar 10 oz Assorted Brands","7.000000","Dillon Gage Inc. of Dallas","Gold","GB10GEN"
